"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","2","1","1","1","1",NA,"Diskusí",NA,NA,"Informace z prvni ruky od odbornika, ktery se vyznal v tom jak se dane problemy resi ve skutecnosti, byl kriticky ale zaroven dodaval motivaci se aktivne podilet na reseni.","Mého kurzu se netýká",NA,"Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","ano, ziskal jsem mnou dlouho hledanou motivaci delat neco jineho nez zahazovat svuj cas",NA,NA,NA
"1","1","1","1","1","1",NA,"Přednáškou",NA,NA,"Praktické skúsenosti lektora, možnosť mať lektora, ktorý bol profi a dokázal i prakticky pomôcť a namotivovať","Velmi lehké",NA,"Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ne","Pomohol vidieť do reálnej náplne práce v danej oblasti, ucelil predstavu",NA,NA,"Možno zapojiť viac praktickej stránky predmetu, informatiky alebo programovanie Sparkiho"
"1","1","2","1","1","1",NA,"Experimentem / problémem",NA,"Kurz sa mi velmi pacil a som z neho velmi fascinovany a motivovany.","Najviac sa mi na kurze pacilo, ze sme sa o robotike naucili vela z roznych oblasti. Najviac sa mi pacili: neuronove siete, Petov pribeh a strojove ucenie.","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Kurz mi objasnil svet robotiky a naucil ma premyslat o roznych problemoch odlisnym (lepsim) sposobom",NA,NA,"Vsetko bolo dokonale, nie je co zlepsovat."
"2","1","1","1","2","2",NA,"Přednáškou",NA,NA,"Ziskany vseobecny rozhlad.","Mého kurzu se netýká",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Dal mi motivaciu venovat sa robotike viac.",NA,NA,NA
"2","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Dozvedela som sa veľmi veľa o princípoch, na ktorých roboty fungujú, kurz bol ozaj super, motivovalo ma to k zlepšovaniu samej seba v tomto obore. ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","Asi pojdem študovať Computer Science.",NA,NA,"Kurz sa mi páčil. "
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"Peťa by se mohl více objevovat na veřejných místech - jídelna apod. Měl jsem chuť pobavit se o nějakém problému a nemohl jsem ho najít, resp. nechtěl jsem jej vyrušovat u jeho aktivit.","Petr skvěle dokáže popisovat problematiku a odpovídat na dotazy. Dokáže inspirovat a ukázat důležitost oboru a jeho využití. Robotika byla jedním z nejlepších kurzů na Discoveru a to jsem zde po třetí. ","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ne","Chci studovat AI !!!",NA,NA,"Chápu, že kurzy musí být přístupné pro velkou skupinu lidí i bez zkušeností. Já osobně bych uvítal i náhled do programování a praxe, což je možná nereálné, ale bylo by to super."
