"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"2","2","1","1","2","1","Ve skupině okolo 5","Přednáškou","Rovnoměrně",NA,"Ukázala mi, jak matematici pracují a jak se vystavila celá matematika jen za pomoci jednoduchých aplikací množin. Zcela nový pohled na matematiku.","Mého kurzu se netýká","Mého kurzu se netýká","Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ano, budu o matematice přemýšlet mnohem víc v rámci axiomatické výstavby a propojenosti všeho do sebe.","Spíš interaktivně","Měl by učit stejně","Nenapadá mě jakýkoliv druh zlepšení."
"4","4","5","5","4","4","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"kurz mi ukázal, jak pracuje matematik a jak odlišná je vysokoškolská matematika od té středoškolské ","Mého kurzu se netýká","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","ano, ovlivnil, nyní vím, jestli a jak bych se jako matematik uplatnil ","Spíš interaktivně","Měl by učit stejně","kurz by měl věnovat více času možnostem uplatnění a denním životem matematika "
"1","1","2","1","1","2","Ve skupině okolo 5","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"To, že to neboli prednášky ale na úplne všetko sme prichádzali sami a dokazovali sme si veci, ktoré sú úplne intuitivné ale dokázať ich nebolo ľahké.","Mého kurzu se netýká","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Áno, donútil ma pozerať sa na matematiku úple inak ako som bola zvyknutá.","Hodně interaktivně","Měl by učit stejně","Niekedz sme boli unavení a bolo veľa informácii na jeden krát a už som po čase prestala vnímať, tak počas kurzu tú hodinu trochu odľahčiť."
"1","2","1","1","1","2","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami",NA,"Ze sme mohli zapajat vlastnu kreativitu na ktoru v skole velmi nie je priestor. ","Nevím","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","v pohlade na matematiku a ze to nie je len to co sa berie v skole ale ovela viac a dozvedela som sa kopu novych suvisloti ktore mi pomocu aj v skole ","Spíš interaktivně","Měl by učit stejně","nenapada mi nic specificke"
"1","1","1","1","1","1","Ve skupině okolo 5","Experimentem / problémem","Nutí nás na věci přícházet sami","Jen velké díky za vedení kurzu a trpělivost s mojí zabedněností. ","Těžko říct, co nejvíc. Super byla matematika, úžasný byl nadšený lektor. ","Mého kurzu se netýká","Vhodně náročné","Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Ukázal mi matematiku, jakou bych ji měla znát, když ji chci studovat. ","Hodně interaktivně","Měl by učit stejně","Dát mu víc hodin! "
"1","1","1","1","1","2","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami",NA,"Na kurzu matematiky se mi nejvic libilo, ze jsme si zacali vysvetlovat zakony matematiky od uplnych zakladu, a cele studium teto latky bylo zalozene na intuitivnich procesech.","Mého kurzu se netýká","Mého kurzu se netýká","Spíše těžké","Určitě ano","Spíše ano","Spíše ne","Určitě ano","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Urcite ovlivnil muj pohled na matematiku jako obor.","Hodně interaktivně","Měl by učit stejně","Mne by vice vyhovalo, kdyby se kurz matematiky zabyval aplikovanou matematikou. Jinak me nenapada co zmenit."
"1","1","1","1","1","2","Ve skupině okolo 5","Hrou","Nutí nás na věci přícházet sami","Si super.","Skupinové rozmýšľanie. O všetkom. ","Mého kurzu se netýká","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Nevím","Spíše ano","Určitě ano","Určitě ano","Určitě ne","V rozmýšľaní nad problémami. ","Hodně interaktivně","Měl by učit stejně","Nič také mi nenapadá.  Možno sa skúsiť vedieť trochu viac navzájom pochopiť."
"3","3","2","3","3","3","Samostatně","Nevím","Nutí nás na věci přícházet sami","Bylo vidět velké nadšení, ale bohužel to alespoň pro mě nebyl schopný srozumitelně vysvětlit, což je pro výuku zásadní. ","Že nás chtěl všechny zapojit a snažil se, abychom téma pochopili.","Mého kurzu se netýká","Mého kurzu se netýká","Spíše těžké","Určitě ano","Spíše ano","Spíše ne","Nevím","Spíše ne","Spíše ano","Spíše ne","Spíše ano","Spíše ne, čekal jsem něco úplně jiného. Nejdu studovat matematiku, takže si neumím představit využití probíraného učiva v praxi.","Spíš interaktivně","Měl by učit stejně",NA
"3","3","2","1","3","3","Ve dvojici","Experimentem / problémem","Rovnoměrně","Učil fajn, jen to učivo bych změnil","práce s nekonečnem na poslední hodině.","Mého kurzu se netýká","Spíše lehké","Mého kurzu se netýká","Určitě ano","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Teoretická matematika raději ne.","Spíš interaktivně","Měl by učit stejně","Aplikovat aplikovanou matematiku... "
