"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami",NA,"Úplne najlepšie bolo si pozriet kúsok z filmu o migrácii v Moldavsku. Bolo to velmi velmi silné! A musím ho dopozerat keď prídem domov. Ale aj všetko ostatné bolo super.","Spíše těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Nový pohlad na utečencov, chut pomáhat.","Hodně interaktivně","Měl by učit stejně","Nič."
"1","1","1","1","1","1","Ve skupině okolo 5","Diskusí","Rovnoměrně",NA,"Ze sme boli mala skupina a teda bol velky priestor na diskusiu pomocou ktorej sa osobne dokazem naucit najviac. Velmi super hodnotim aj interaktivnost lekcii.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Rozmyslat o postaveni utecencov a ludi z inych krajin trochu inym sposobom, zvazovat vsetko comu celia etc.","Hodně interaktivně","Měl by učit stejně","-"
"1","1","1","2","1","1","Samostatně","Diskusí","Rovnoměrně",NA,"Nejvice se mi libil pristup lektorky, ktera nam vse vysvetlila, ale take po nas chtela, abychom nad tim vic premysleli.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Obecne ovlivnil muj pohled na migranty.","Spíš přednášel","Měl by učit stejně","Nemyslim si, ze je treba neco menit."
