"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"Uzka je skvely lektor i inspirativni clovek. Ona vi, vse co jsem mela na srdci jsem ji rekla osobne.","Wow, toto byl nejlepsi kurz za tento i minuly rok. Zuzko, ses skvela. Vyborne materialy, suprove pripravene! Vyborne poutave hodiny. Je super, jak delas v oulce prestavky, strasne to ozivi. Pripady v praxy, simulace... Bomba, bomba. Zuzka se snazi dat prostor vsem to je skvele, vyborne reguluje diskuzi, vede to spravnym smerem, poklada dibre dotazy na premysleni.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ano, strasne moc mi to ukazalo svetle stranky prava a asi ho pujdu studovat. Wish me luck!!!",NA,"Měl by učit stejně","Skoro nic, uprimne. Snad jen udelat na konci opravdu tezsi pripad na simulaci a vzit si na nej prostor treba posledni den k veceru, aby si lidi mohli pripravit argumenty pres den... To by bylo bomba vsech bomb. Jako treba ne vsichni z kurzu by to uvitali, ale my nadsenci (:D) bychom si to uzili vic nez teamovou diskuzi. Vis proste mit moznost dobrovolne si to zasimulovat treba mit na obhajovaci strane jen jednoho cloveka klidne.. No jeee skoda ze uz pravo mit znova nebudu!"
"1","1","1","1","1","1",NA,"Diskusí",NA,"Zuzka bola perfektná :) určite by som ju chcel budúci rok","Praktická aplikácia práva, lebo je to efektívne, hlavne moot courty","Spíše lehké",NA,"Vhodně náročné","Určitě ano","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Naučil ma identifikovař detaily v práve",NA,NA,"nič"
"2","2","1","1","3","3",NA,"Diskusí",NA,"pravo je zaujimave a Zuzka je super lektorka len sme akosi nestihali vela veci a to mi trosku vadilo som rad ze sme sa naucili CRAC a mali moznost ho vyuzit no podla mna sme sa az moc zaoberali ludskymi pravami","diskusia priestor na vyjadrovanie nazorov objasnovanie a fakty ktor Zuzka vedela","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ne","myslim ze ano, ale este si necham prejst hlavou ako presne",NA,"Měl by učit stejně","lepsie usporiadat si temy a mat jasno v tom co tam bude a nebude mozno radsej veci skor oznacit len ako pre zaujimavost pokial vieme ze sa k nim zrejme nedostaneme"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Páčilo sa mi doskutovanie a tiež ""simulované súdy"". Na tom sme si všetko vyskúšali a odtestovali sa. Zuzka bola super.","Spíše těžké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Právo ma začalo ešte viac baviť ako predtým. Rozhodujem sa teraz reálne či ho pojdem študovať. A nebála som sa povedť svoj vlastný názor - každý ho rešpektoval.",NA,"Měl by učit stejně","Asi by som nič nemenila. Zuzka dokázala meniť program za pochodu podľa toho čo sme chceli vedieť. "
"1","1","3","1","1","2",NA,"Experimentem / problémem",NA,"Zuzko, dekuji za všechny lekce, nikdy jsem žádné takové nemela a ani mít nebudu, pokud me ješte nekdy nebudeš učit.

BYLO TO SUPER!","Simulace soudního rízení a rozebírání prípadu, které se skutečne staly, takže asi všechno","Vhodně náročné",NA,"Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Utvrdila jsem se v tom, že bych právo ve budoucnu chtela studovat a venovat se mu i pres jeho náročnost, protože je to zábava.",NA,"Měl by o trochu víc přednášet","nic, ale mohly být trochu víc náročnejší"
"1","5","5","1","1","1",NA,"Přednáškou",NA,"učil velmi poutavě","hodina věnovaná ""právu být zapomenut""","Vhodně náročné",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","ano, inspiroval mě a ukázal mi, že mě právo baví",NA,NA,"více nových teoretických informací"
"1","1","2","1","1","1",NA,"Experimentem / problémem",NA,NA,"Líbil se mi přístup lektorky, která byla velmi přátelská a moudrá.Líbily se mi dovednosti, které jsme se naučili a můžeme jej využít i v praktickém životě, což nejvíce oceňuji.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Ve směřování na vysokou školu a pohledem na některé případy, o kterých jsme si zkusili moot courts.",NA,NA,"Možná více času :)"
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,"Zuzka byla naprosto fantastická a byla to jedna z nejlepších ""učitelek"", které jsem kdy měl. Víc netřeba dodat.","Asi že bylo od každého trochu a mohl jsem si vyzkoušet do čeho jdu. Bylo to naprosto fantastické. Naše lektorka byla úplně úžasná a moc mi toho naučila a jsem jí strašně vděčný.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Možná ve výběru vysoké školy, ale zatím nemůžu říct, jestli určitě. Rozhodně mi kurzy zaujali a budu se jim věnovat dál.",NA,NA,"Tohle bylo skvělé, jak to bylo. Hlavně moot courty mi strašně bavili. Fantastické!"
