"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","2","1","Samostatně","Experimentem / problémem","Dává nám nové informace","Viac diskusii, problemov, experimentov ktore by sme robili na nas samych","Diskusie, pretoze tam sa prejavia nase nazory a clovek sa pocas nich preberie navyse nase diskusie boli casto velmi zaujimave.","Velmi lehké","Velmi lehké","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Spíše ne","Nie pretoze mam velmi vyhranene nazory a ujasnenu buducnost","Spíš interaktivně","Měl by nás trochu víc zapojovat","Ja si myslim ze som dala Marketke dostatocny feedback a hlavne je aby ona vedela co by sa mozno mohlo zlepsit. "
"3","1","1","2","1","3","Ve velké skupině","Hrou","Nevím",NA,"NNH -  bolo to nieco nove ","Nevím","Mého kurzu se netýká","Spíše lehké","Určitě ano","Určitě ano","Spíše ano","Nevím","Určitě ano","Spíše ano","Spíše ano","Spíše ne","nové pohěady","Spíš interaktivně","Nevím","viac tém, ktoré sa bežne nediskutujú"
"1","1","1","1","1","2","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Zajimava temata hodin a dobre diskuze","Mého kurzu se netýká","Mého kurzu se netýká","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Ukazal mi, ze i kdyz me spolecenske vedy hodne zajimaji, asi se jim nebudu chtit venovat na univerzite","Hodně interaktivně","Měl by o trochu víc přednášet","Nejake materialy dopredu, abychom se mohli seznamit s tematy, o kterych jsme diskutovali, uz pred discoverem"
"2","3","1","1","2","1","Samostatně","Diskusí","Rovnoměrně","Bola si super !","Na kurze Sociológie sa mi najviac páčilo, že som sa mohla slobodne vyjadriť na ľubovoľnú tému. Diskusie na tomto kurze boli super.","Velmi lehké","Mého kurzu se netýká","Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Utvrdilo ma to v tom , že chcem ísť študovať, niečo spojené so sociológiou.","Spíš přednášel","Nevím","Nešla by som hlavne poďla prezentácii, viacej sa mi páčili videá a konkrétne príklady."
"1","1","1","1","1","1","Ve skupině okolo 5","Diskusí","Dává nám nové informace",NA,"Discusie, dalo mi to nový pohlad na vec.","Velmi lehké","Velmi lehké","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Nový pohlad na vec.","Spíš interaktivně","Měl by učit stejně","Nič."
"1","1","2","1","1","1","Ve dvojici","Diskusí","Rovnoměrně","Markéta byla skvělá!","Možnost strávit skoro celou hodinu diskusí jak s Markétou, tak s ostatními účastníky (některými z nich). 
Zároveň některá témata, hlavně nerovnosti, sociální stát a statistika.","Mého kurzu se netýká","Nevím","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Dozvěděl jsem se, co to vlastně sociologie je, což oceňuji. Zároveň jsem pochopil, jak funguje statistika a mnoho dalších už spíše dílčích informací, které mi pomohly doplnit můj obraz o oblastech jako náboženská hnutí.","Hodně interaktivně","Měl by učit stejně","Některá témata, třeba hned první (předsudky), bych pojal trochuv více teoreticky - strávit 90 minut diskusí o tom, že předsudky jsou špatné a že ne všichni Romové jsou zlí je určitě důležité, ale myslím si, že každý z nás to už slyšel mnohokrát. Ocenil bych např. další statistiky, teorie, proč a jak předsudky fungují apod."
"2","2","2","2","2","2","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami","Lektorka by mohla pri výklade obmedziť  používanie častice hmmmmm počas premýšľania na minimum, ","Vďaka týmto kurzom, som Sociológiu vyškrtla zozoznamu potencionálnych vysokých škol... Kurzy pripravené na vysokej úrovni. Markétka je skvwlá, ale s témou samotnom sme si nesadli.","Mého kurzu se netýká","Mého kurzu se netýká","Spíše lehké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Ovplzvnil ma pri výbere vysokej školy. Na sociológiu nepojdem i keď kurz bol spracovaný perfektne.","Spíš interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","1","Samostatně","Přednáškou","Rovnoměrně",NA,"všetky témy boli zaujímavé, 
bavili ma diskusie, kt. mohlo byť viac
najviac s ami páčila téma sociální stát","Vhodně náročné","Velmi lehké","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","dodal mi nové pohľady na dianie v spoločnosti","Spíš interaktivně","Měl by nás trochu víc zapojovat",NA
