"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"2","1","3","1","3","3","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami",NA,"podrobny popis politickych systemov, prieskumy","Spíše těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Určitě ne","naucil ma ako funguje politika v zakulis","Hodně interaktivně","Měl by o hodně víc přednášet","pridat viac teorie a vysvetlovania"
"1","2","1","1","1","1","Ve dvojici","Přednáškou","Dává nám nové informace","Žádný problém, těžko na politologii hledat lepšího člověka, než je právě Petr.","Byl jsem rád, že nám Petr ujasnil, jak funguje EU a jaké všechny instituce do ní patří, také se mi líbily počáteční teoretické hodiny o tom, co vlastně jsou politika a demokracie. Nevadila mi vlastně ani poměrně dlouhá četba, naopak mě inspirovala a dostal jsem nové podněty, co bych si jednou chtěl přečíst, jelikož se (zejména díky Petrovi) nejspíš chci politologii do budoucna věnovat.","Spíše těžké","Nevím","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Utvrdil mě v tom, že bych politologii rád studoval, takže určitě ano. ","Spíš interaktivně","Měl by učit stejně","Za sebe bych ocenil, kdybychom se méně věnovali např. politickému systému a rozdělení moci v Čechách a na Slovensku, jelikož jsem si myslel, že jde o věci, o kterých má přehled téměř každý. Jak se však ukázalo, většina členů kurzu neměla o jeho fungování ani tušení, takže chápu Petra, že jsme téma museli probírat tak dlouho. Mně však mnoho nového nepřineslo a nestihli jsme kvůli tomu jiné věci, které by mě možná zajímaly o trochu víc."
"4","5","3","5","5","4","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami",NA,"Témy ktoré sme preberali, texty a nase dkiakusie","Vhodně náročné","Vhodně náročné","Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Rozmylsam o studia politologie na univerzite.","Spíš interaktivně","Měl by o trochu víc přednášet",NA
"2","2","4","3","4","4","Ve velké skupině","Diskusí","Dává nám nové informace","Lektor skor na vysoku skolu, velmi akademicke vedenie hodiny ","Niektore bloky ktore obsahovali zaujmave info","Velmi těžké","Nevím","Spíše lehké","Určitě ano","Určitě ne","Spíše ano","Nevím","Spíše ano","Spíše ne","Spíše ne","Spíše ne","hej, prisiel som na to ze politologia nieje uplne to co som si myslel a viem ze sa jej az tak nechcem venovat","Hodně přednášel","Měl by nás o hodně víc zapojovat","Spravit ho zaujmavejsi, nenechat ho vacsinou na urovni ""basic and not interesting"" info, nechat viac priestoru na diskusie k zaujmavim otazkam ( nie k basic info)"
"1","1","2","1","1","2","Ve dvojici","Experimentem / problémem","Rovnoměrně",NA,"Politologické štúdie a zaujímavé vysvetlenie základnych pincípov demokracie (teoretické aj praktické).","Spíše těžké","Vhodně náročné","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určite, utriedila som si veci, ktoré rozhodne zužitkujem či už pri voľbách, alebo počas voľného času, keďže ma to dosť zaujíma.","Spíš interaktivně","Měl by učit stejně","Neviem do akej miery je to možné, ale ja by som rada skúšala prísť na niektoré veci práve pomocou rôznych štúdii."
"1","1","2","1","1","2","Samostatně","Diskusí","Rovnoměrně",NA,"Líbilo s mne diskutování o nejruznejších tématech a také interaktivní metody výuky. Také lektor byl velmi sympatický.","Spíše těžké","Velmi lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","V pohledu na politické strany, demokracii a EU.","Hodně interaktivně","Měl by učit stejně","Nic, byl super."
"2","2","2","2","1","1","Ve dvojici","Diskusí","Nutí nás na věci přícházet sami",NA,"Nové poznatky ohľadom politiky, ktoré možem využiť v debate.","Velmi těžké","Spíše lehké","Vhodně náročné","Určitě ano","Spíše ne","Spíše ne","Určitě ne","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Nie.","Spíš přednášel","Měl by nás trochu víc zapojovat","Viac interaktívne a svižnejšie. Občas ma to nudilo a zaspával som."
"2","1","3","1","1","2","Samostatně","Diskusí","Dává nám nové informace",NA,"Iné pohľady na vec, pohľad od odborníka","Vhodně náročné","Spíše lehké","Velmi lehké","Určitě ano","Spíše ne","Určitě ano","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Určitě ne","Vidím viac do témy","Spíš přednášel","Měl by nás trochu víc zapojovat","Trošku viac akčnejšie, viac otvárať diskusie, zaujať viac účastníkov"
"2","1","1","1","1","1","Ve skupině okolo 5","Diskusí","Dává nám nové informace",NA,"Dobré vysvetlenie fungovania politiky","Spíše těžké","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Dal mi nový pohľad na fungovanie spoločnosti a na to prečo je to tak ako to je","Spíš přednášel","Měl by učit stejně","Menej povinného textu alebo o trochu menej zložitejších textov "
"2","1","1","1","2","2","Ve skupině okolo 5","Přednáškou","Nutí nás na věci přícházet sami",NA,"Diskusia o EU a rôzne prepojenia voličov a zakonodárnej moci.","Vhodně náročné","Velmi lehké","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Určitě ano","Ano ovlivnil. Dozvedel som sa veľa zaujimvostí a zlepšil všeobecný prehľad.","Hodně interaktivně","Měl by o hodně víc přednášet","Chcel by som vidieť trošku viac teorie ako diskusie."
