"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","2","1","1","2","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"
pohľad na to, ako historik musí rozmýšlať","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","ano, zmenil mi zmýšlanie o práci historika","Spíš interaktivně","Měl by učit stejně","Nič"
"1","1","1","1","1","1","Samostatně","Přednáškou","Dává nám nové informace",NA,"Veľmi sa mi páčili témy ,ktore sme preberali na tomto kurze a spôsob akým ich nas lektor podal. Naučilo ma to o histórii premýšľať z uplne iného uhli a rozhodne mi to veľa dall do budúceho štúdia.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Ano, kurz urcite ovplyvnil spôsob akým premýšľam a donútil ma uvedomiť si v akých oblastiach by som sa mala zlepšiť.","Hodně přednášel","Měl by učit stejně",NA
"1","1","2","1","1","1","Ve dvojici","Hrou","Nutí nás na věci přícházet sami",NA,"Pohlad na fakty a informacie ; obrazky, mapy","Spíše lehké","Vhodně náročné","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Celkovy pohlad na ziskavanie info","Spíš interaktivně","Měl by učit stejně","Nic.."
"2","1","1","1","2","1","Samostatně","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"pripomenulo mi to, ze mam byt podozrievava. predtym to bola len fraza, teraz viem aj preco sa ta podozrievavost hodi.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ne","najblizsie budem omnoho viac filtrovat informacie","Hodně interaktivně","Měl by o trochu víc přednášet","trochu menej timovzch aktivit"
"1","1","1","1","1","1","Ve dvojici","Diskusí","Nutí nás na věci přícházet sami",NA,"Nejvíc se mi líbil přístup a vedení kurzu, které še zaměřilo předefším na to naučit nás dívat se na historii z jiných úhlů pohledu, zamýšlet se nad zdroji, pojmy a mnohým dalším. Příjde mi, že rozvíjel mé myšlení nejen v oblasti historie, ale i všeobecně a to hodně oceňuji.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","V mém myšlení, názorech a pohledech na historii a nejen na ni.","Hodně interaktivně","Měl by učit stejně","Nenapadá mě co měnit."
"1","1","1","2","1","2","Ve skupině okolo 5","Diskusí","Rovnoměrně","Chcela by som vyzdvihnúř snahu o to aby sme sa všetci zapájali do diskusie a to že sa nás pýtal počas vysvetlovania či všetko chápeme.","Rozoberanie histórie nielen na povrchu ale hlavne diskutovanie príčin, zdrojov, uhľov pohľadu a diskurzov.","Vhodně náročné","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Budem sa snažiř inak príjmař a vyvodzovat informácie z mne podaných materiálov, už viem že to čo je na povrchu nemusí byř vždy pravda a je potrebné ísř hlbšie.","Hodně interaktivně","Měl by učit stejně","Na samotnom kurze mi nechýbalo nič konkrétne."
