"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1",NA,"Hrou",NA,NA,"Prohloubení znalostí z ekonomie a ukázka využití v reálném svete. Zajímavosti a eye-opening diskuze me velice obohatily. ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Ujistil me v rozhodnutí, že studium ekonomie je opravdu pro me.",NA,"Měl by učit stejně","Nic, jen si pojistit Mateje na dalších nekolik ročníku Discoveru."
"4","5","3","5","4","3",NA,"Hrou",NA,NA,"Praktické hry ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Určitě ne","Ani nie ",NA,"Měl by učit stejně","mozno urobit ho trocha tazsim "
"1","1","1","1","1","2",NA,"Diskusí",NA,NA,"Vysvetlenie tem ekonomie simulaciou obchodu a tvorenie vlastneho nazoru","Velmi lehké",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","V tvoreni vastneho nazoru viz. clanok o pithardovi",NA,"Měl by učit stejně","nic"
"1","1","3","1","2","2",NA,"Diskusí",NA,"Mozna jasnejsi, presnejsi vysvetlovani problemu a grafu, kladeni dobre polozenych, jasných otazek. Delani aktivit, ktere presne budou vest k diskutivanemu problemu. Jasnejsi vysvetlovani.","Spolecne diskuse o problemech, spolecne vymysleni odpovedi na otazky.","Vhodně náročné",NA,"Spíše lehké","Určitě ano","Spíše ne","Spíše ano","Určitě ano","Spíše ne","Určitě ano","Spíše ano","Určitě ne","Mozna me inspiroval ke cteni vice clanku, abych byla schopna si sama vytvorit nazor. Zazila jsem ekonomii v praktíckem slova smyslu a v jinem uhlu, nez jsem byla zvykla ze skoly.",NA,"Měl by učit stejně","Jasne a presne vysvetlovani latky, grafu. Obsah kurzu bych tolik nemenila."
"1","1","2","1","1","2",NA,"Nevím",NA,NA,"Medzinárodný obchod. Bol najzaujímavejší.","Spíše těžké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Podnietil vo mne ešte vačší záujem o ekonómiu.",NA,"Měl by o trochu víc přednášet","Nič meniť netreba."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Ekonomie. Najviac sa mi pacil Matejov pristup ktory ma nadchol. Ukazal mi ze ekonomia je zaujimava veda.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Potvrdil moju chut studvoat ekonomiu",NA,"Měl by učit stejně","Nic. Hlavne nie Mateja."
"5","1","1","1","1","1",NA,"Hrou",NA,"učil velmi dobře","využití ekonomie v praxi .... obchody, které jsme mezi sebou simulovali a pak je aplikovali na teorii","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","ukázal mi ekonomické pojmy na hrách, které mě bavili",NA,"Měl by učit stejně","ještě víc praktičnosti"
