"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1","Samostatně","Přednáškou","Rovnoměrně",NA,"Najviac sa mi páčilo to ako lektorka kurz viedla a jej zápal pre tento odbor. Taktiež sa mi velmi pacilo ,ze nam dokázala dat viac informácii o tom ako prebieha naozajstný  výskum a dokázala nam dostatočne vysvetlit rôzne témy ,ktore nas zaujímali. ","Velmi lehké","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Dalo mi to velmi vela nových vedomosti a tym pádom ma to dost obohatilo. ","Spíš přednášel","Měl by o trochu víc přednášet","Nemyslím si, ze by sa malo nieco meniť."
"1","1","1","1","1","1","Ve dvojici","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Uvoľnená atmosféra ktorá spríjemnila celkový zážitok tohto kurzu. Taktiež sme sa učili o zaujímavých témach.","Velmi lehké","Velmi lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Naučil ma nové veci.","Hodně interaktivně","Měl by učit stejně","Možno aby bol viacej všeobecnejší. Totiž väčšinu času sme strávili nad genetikou čo bolo pecka ale rád by som vedel aj niečo viac."
"1","1","2","1","1","1","Ve skupině okolo 5","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"To že sme prechádzalikaždý deň nejakým experimentom, výskumom a skúsili sme si, ako takí vedcovia fungujú. zároveň sme sa naučili aj dosť teorie. Celkom dosť som si aj zapamatala, kvoli zhrnutiu na konci a záverečnému kvízu.","Mého kurzu se netýká","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Veľmisa mi páčilo, ako sme na veci prichádzali sami, uvedomili si zodpovednosť za svoje rozhodnutia. ","Spíš interaktivně","Měl by učit stejně","Nič mi nenapadá "
"1","1","1","1","1","1","Ve skupině okolo 5","Hrou","Rovnoměrně",NA,"Všetko to ako sme sa zapájali a skúšali si veci v praxi.","Velmi lehké","Velmi lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ne","V  tom že práca lekára je naozaj náročná a nie každý ju zvládne.","Spíš interaktivně","Měl by učit stejně","Nič netreba meniť."
"1","1","1","1","1","1","Samostatně","Diskusí","Rovnoměrně",NA,"Velmi sa mi pacilo ako sme sa mohli zapojovat a ked sme sme isli zbierat vzorky micro organizmov. ","Mého kurzu se netýká","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Nevím","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Utvrdila som si svoje poznatky zo skoly","Spíš interaktivně","Měl by učit stejně",NA
"1","1","1","1","1","1","Ve skupině okolo 5","Experimentem / problémem","Dává nám nové informace","Nic.","Kurz bol nesmierne putavy a obohacujuci. Velmi dobre sa nam ucilo a dalej sme z toho cerpali a pracovali.","Mého kurzu se netýká","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Uzastne informacie sme dotali. Posunuli nas dalej. Dakujem.","Hodně interaktivně","Měl by učit stejně","Nic by som nemenila."
"1","1","1","1","1","1","Ve dvojici","Hrou","Dává nám nové informace",NA,"Páčilo sa mi, že nám Marta ukazovala rozne príklady na dané témy.","Spíše lehké","Spíše lehké","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Áno, ovplyvnil. Zistila som, že je biológia na mňa náročná.","Spíš interaktivně","Měl by učit stejně","Nemyslím si, že niečo konkrétne, pretože sme preberali dosť náročné témy, ale predsa ešte nejaké zložitosti /napr. mutácie/ zjednodušiť."
"1","1","1","1","1","1","Ve dvojici","Experimentem / problémem","Rovnoměrně"," Diky moc!","Experimenty a videa","Velmi lehké","Vhodně náročné","Spíše těžké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","Poznala jsem nove moznosti a biologii z jine strany.","Spíš přednášel","Měl by učit stejně","Nic"
