"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","3","3","1","2","2",NA,"Diskusí",NA,NA,"Látka bola rozdielna od tých v škole. Ňeučil som sa fakty, ale samotný pohľad na históriu, čo mi nadmieru vyhovovalo. ","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ako som už napísal, môj pohľad na históriu sa zásadne zmenil. Spôsob, akým sa zaznamenáva história je iný, ako som si myslel. ",NA,"Měl by učit stejně","Kurz bol pútavý a informácie, ktoré poskytuje sú dostatočne užitočné. "
"1","2","2","2","1","2",NA,"Experimentem / problémem",NA,"bylo to supeeer","najvice se mi libilo kdyz sme s ucili  o tom jak kdysi fungovali imperia, a hlavne jak fungovalo saladinovo imperium","Spíše lehké",NA,"Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","naucil mne ze to co jsem vnimala jako pevne stanovena fakta ve skutecnosti nejsou vubec definovatelni a ze na vsechno musim zhlizet aspon trochu kriticky",NA,"Měl by učit stejně","asi nic, cekala jsem vice fakt ale milo mne to prekvapilo"
"1","1","1","1","1","1",NA,"Přednáškou",NA,"-","Iný spůsob vnímania histórie.","Vhodně náročné",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Iné vnímanie faktov a iný postoj na hodinách dejepisu.",NA,"Měl by učit stejně","Viac zaujímavých tém."
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Vše se mi líbilo.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ne","Naučil mě přemýšlet o faktch jinak. Veškerý feedback jsme si řekli již v poslední hodině.",NA,"Měl by učit stejně","Na kurzu není potřeba měnit naprosto nic."
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Na vsechno jsme si museli prijit sami, obhajit si to a take tam byl vzdy patrny presah do soucasneho a budouciho zivota ve vsech ohledech.","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","V pohledu na svet a na zivot jako takovy. V pohledu na Historii jako vedu samotnou - historie muze byt vyucovana i zabavne a spoustu veci se da naucit v 5 minutach.",NA,"Měl by učit stejně","Nic."
