"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","3","2","1","2",NA,"Experimentem / problémem",NA,NA,"Museli sme rozmýšľať, mali sme lektora, ktorý nás ťahal a bolo zjavne vidno, že ho učivo a i učenie bavi","Velmi těžké",NA,"Velmi těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Pomohol mi nakopnúť sa, viac sa zaoberať témami preberanými na kurze a hlavne podobnými témami spadajúcimi do okruhu, do ktorého kvantovka spadá a ktoré ma bavia",NA,"Měl by učit stejně","Možno trochu zmierniť náročnosť domácej prípravy, alebo ju dať s skôr a s rozsiahlejšími vysvetlivkami, odkazmi na prehĺbenie naučeného, príkladmi"
"2","3","1","1","2","2",NA,"Experimentem / problémem",NA,"vice opodrobna rozepisovat mezikroky prikladu","Libil se mi pristup lektora (ochota vse vysvetlit nekolikrat, diskutovat, ...)","Velmi těžké",NA,"Spíše těžké","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Pomohl mi pochopit, jak se na svet divaji kvantovi fyzici a ze bych nikdy nemohla delat fyziku, i kdyz je to velmi zajimavy obor
ajimavy obor.",NA,NA,"Na kurz byla potrebna znalost stredoskolske matematiky, coz bylo pro nektere ucastniky nesplnitelne a nasledne to pusobilo rozpolcenost skupiny, nutnost dovysvetlovat matematku apod."
"1","1","1","1","1","1",NA,"Experimentem / problémem",NA,NA,"Na kurze sa mi najviac pacil sposob podania, ktory je podla mna pristupny aj ludom, ktory s kvantovou mechanikou nikdy predtym neprisli do kontaktu. A okrem toho, interne fyzikalne vtipy boli proste top!","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Tento kurz ma vela naucil a doplnil mnohe moje poznatky z domaceho studia a tiez veci, ktore mi doteraz neboli jasne. A tiez ma utvrdil v tom, ze fyzika je uzasna a fascinujuca veda!",NA,"Měl by učit stejně","nic"
"1","1","1","1","1","2",NA,"Nevím",NA,NA,"ochota lektora a styl vyucby ako na vysokej skole","Spíše těžké",NA,"Spíše těžké","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Vysvetlil uvod do kvantovej fyziky a urcite namotivoval na dalsi zaujem o danu temu",NA,NA,NA
"1","1","2","1","1","1",NA,"Experimentem / problémem",NA,NA,"Kvantovka byla velice zajímavá ve smyslu, že jsme se zamýšleli nad věcmi, ke kterým se člověk málo kdy dostane s lektorem z Oxfordu.","Spíše těžké",NA,"Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Spíše ne","Nikdy jsem nedoufal, že bych se nějak ke kvantové fyzice dostal. Ve škole určitě ne a proto byl Discover velice přínosný. ",NA,"Měl by nás trochu víc zapojovat","Možná méně matematiky. Ale nevadilo mi to nějak výrazně."
"1","2","1","2","1","1",NA,"Experimentem / problémem",NA,NA,"Zistil som, o com je univerzitna fyzika a utvrdil som sa v tom, ze ju chcem studovat. To je ovela pdolezitejsie, ako konkretne vedomosti, ktore som nadobudol.","Spíše těžké",NA,"Spíše těžké","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Nevím","Uistil som sa, zechcem studovat fyziku na vysokej skole.",NA,"Měl by nás trochu víc zapojovat","Mozno by bolo dobre rozdelit ucastnikov do skupiny a a b podla toho, ako su pokrocili, co by uviedli pred prichodom na discover. Myslim ake maju matematicke schopnosti napriklad, takze sebavedomejsi matematici by boli v jednej skupine a ti druhi v druhej. Davat nam priebezne este o trochu viac prikladov, aby sme si to vedeli precvicit"
"1","1","1","1","1","1",NA,"Nevím",NA,"Dominik bol naozaj ako lektor úplne úžasný. Okrem toho, čo som uviedla vyššie mu nemám čo vytknúť. Páčilo sa mi, že nám dal aj úlohu any sme si vlastne sami na sebe odtestovali, či sme danú látku pochopili a do akej miery, ktorú nám samozrejme opravil a priniesol na druhý deň. Rada by som s ním mala nejaký kurz aj budúci Discover","Pri tejto otázke sa vždy pousmejem pretože aj napriek tomu, že som na tento kurz prišla prakticky s nulovými vedomosťami o kvantovej fyzike, odnášala som si množstvo nových poznatkov a informácii. Musím povedať, že lektor bol vždy vľúdny a priateľským a veľmi jednoduchým vysvetľovaním nám dokázal objasniť naozaj všetky modely a situácie. Veľa sme sa zasmiali na dobre mierených a trefných výrokoch, otvoreným prístupom sme za týždeň intenzívnej výučby načreli myslím si veľmi hlboko vzhľadom na to, že týždeň je pomerne krátka doba.","Spíše těžké",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Ovplyvnil ma asi hlavne v tom, že časticový svet nieje len čiernobiely, naučila som sa zápisu v kvantovej fyzike, okúsila som myslenie v kvantovej fyzike",NA,NA,"asi by som brala ohľad na to, akú úroveň matematiky majú uchádzači (lektor by sa ešte pred Discoverom mohol pomocou formulára informovař o matematickej alebo inej požadovanej zdatnosti svojich budúcich študentov a podľa toho si zostaviť učivo)"
