"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Krystofe, jsi skvely ucitel a bylo pro me cti ucastnit se Tveho kurzu! Nejvic se mi libily asi zive diskuze v hodinach.","Spíše těžké",NA,"Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Ano, pochopil jsem alespon tak, jak to bylo na tydennim kurzu mozne, co to je marxismus, marxisticka analyza dejin a jak ovlivnuje nasi spolecnost.",NA,NA,"Nic."
"1","1","2","2","2","1",NA,"Diskusí",NA,"super byla nazorna ukazka vzniku proletariatu (a pohadky!). ","Velmi mne zaujalo mnozstvi diskuzi a prostoru pro nase postrehy a nazory. To bylo super!","Vhodně náročné",NA,"Vhodně náročné","Spíše ne","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Vice jsem zacala premyslet i o tabuizovanych tematech. Novy pohled na ideologie.",NA,NA,"Vice informaci o soucasnem deni v Cine, Jizni Americe apod."
"3","2","2","2","3","3",NA,"Přednáškou",NA,NA,"Prepojenie s históriou. Krištofove prednášky boli pútavé a spĺňajúce očakávania.","Vhodně náročné",NA,"Vhodně náročné","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ne","Prelomil predsudky, ktoré som o Marxisizme mal. (Kurz splnil očakávania)",NA,NA,"Neviem si predstaviť, čo by sa malo zmeniť. Z môjho pohľadu nič."
"1","2","2","1","1","2",NA,"Přednáškou",NA,"krystof si supeeeeeeer a mas dokonali prizvuk","nejsem ve stavu to tu rozpisovat, ale bylo to fakt super a velmi sa mi pacilo krystofovo podanie, styl, a taky provedeni(e), neviem co este napisat, ale pacili sa mi interpretacie rozpravok a tie stare noviny :)","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","ano, v celkovom pohladu na ideologiu komunizmu a marxizmu",NA,NA,"podla mna nic, je to fajn, mozna trochu vice do hloubky ale to nejde za tak kratky cas"
"1","1","1","1","1","1",NA,"Diskusí",NA,NA,"Mala skupina, super pristup","Vhodně náročné",NA,"Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Nevím","Jsem ˇarxista",NA,NA,NA
"2","1","1","1","1","1",NA,"Diskusí",NA,NA,"Kryštof protože je super","Vhodně náročné",NA,"Vhodně náročné","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ne","Osvetlila jsem si problematiku a naučila se hodně novych věci taky jsem si ujasnila nesrovnalosti",NA,NA,"Víc se zaměřt na strukturu kurzu a jít víc do hloubky jinak super "
"1","1","2","1","2","2",NA,"Diskusí",NA,NA,"interaktivita hodin, diskuse, noviny, bankovky atd.","Spíše lehké",NA,"Vhodně náročné","Spíše ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Spíše ne","kurz mi dal nove poznatky a novy sposob rozmyslania nad filozofickymi dielami",NA,NA,"nevyuzili sme vsetky materialy, ktore sme mali nacitane, co bola skoda"
