"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","1","1","Ve skupině okolo 5","Experimentem / problémem","Rovnoměrně","ste super ","vsetko- cvicenia, lektori, kratka pohybova aktivita na zaciatku, ktora nas prinutila zobudit sa","Mého kurzu se netýká","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ne","ano, naucila som sa ako ucit debaterov v mojom klube","Hodně interaktivně","Měl by učit stejně","neviem
mozno viac debat"
"5","5","3","5","5","4","Ve velké skupině","Diskusí","Rovnoměrně","Trochu viac by som kontroloval kam diskusia smeruje a zastavil pripadne nepodstatnu alebo od temy smerujucu diskusiu.","Prepojenie teorie a praxy. Velmi vela dobrých príkladov na pochopenie.","Mého kurzu se netýká","Spíše lehké","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ne","Zlepšil mi porozumenie o debate. Ukazal nove možnosti a debatné techniky.","Hodně interaktivně","Měl by učit stejně","Viac debatovania resp. civičení na trénovanie rečí/krosov."
"1","1","1","1","1","1","Ve dvojici","Přednáškou","Rovnoměrně","Velmi jasne uili.","Vysvetlovanie na základe príkladov bolo velmi zrozumitelné.","Mého kurzu se netýká","Spíše těžké","Spíše těžké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Určitě ano","Spíše ano","Určitě ano","Spíše ne","Nové info využijem v debatách.","Hodně přednášel","Měl by nás trochu víc zapojovat","Nmám čo vytknúť."
"1","1","2","1","1","1","Samostatně","Přednáškou","Rovnoměrně",NA,"To, že všetko čo sme sa v priebehu kurzu naučili, sme si následne aj vyskúšali v praxi. ","Mého kurzu se netýká","Spíše těžké","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určite ma veľa nového o debate naučil a to mi v budúcnosti dúfam veľmi pomôže.","Spíš interaktivně","Měl by učit stejně","Možno by sa malo počítať s tým, že na Discoveri nemáme príliš veľa voľného času nazvyš a je dosť ťažké si pripraviť case na nasledujúcu hodinu."
"1","1","1","2","1","1","Ve skupině okolo 5","Diskusí","Nutí nás na věci přícházet sami","(Y)","Pristup lekotorv, vysoka interakcia","Mého kurzu se netýká","Spíše lehké","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Ziskal som nove poznatky a sposoby ako ich predavat dalej","Hodně interaktivně","Měl by učit stejně","----"
"2","2","1","1","2","1","Ve dvojici","Přednáškou","Rovnoměrně",NA,"Skvela teoria","Spíše lehké","Velmi lehké","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Spíše ano","Určitě ano","Určitě ano","Spíše ano","Pomohol mi pri rozhodnutiach","Hodně přednášel","Měl by učit stejně","Urcite nic "
"1","1","1","2","1","2","Samostatně","Diskusí","Dává nám nové informace",NA,"Naučil som sa nové sposoby tvorenia caseov, argumentov, tvrdení, refutovanie a podobone. A samozrejme ma bavila ta interaktivita.","Mého kurzu se netýká","Vhodně náročné","Spíše těžké","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Určitě ano","Určitě ano","Ano, naučil ma už vyššie spomenuté.","Hodně interaktivně","Měl by nás trochu víc zapojovat","Viac debát, tak najlepšie 1 debata za 2 dni aby sme mohli nove znalosti hned skusit aplikovat."
"1","1","1","1","1","1","Samostatně","Diskusí","Rovnoměrně",NA,"Líbila se mi sposta různých užitečných pokročilých debatních technik a jejich srozumitelné vysvětlování.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Pomohl mi se zdokonalit v debatě.","Spíš interaktivně","Měl by učit stejně","Možná trochu víc procvičování v podobě samorné debaty."
