"hodnoceni_čt","hodnoceni_pá","hodnoceni_po","hodnoceni_so","hodnoceni_st","hodnoceni_út","kurzjaknejlepepraco","kurzjaknejuci","kurzjakuci","kurzlektorpoznamky","kurzlibilo","kurznarocnost_narocmater","kurznarocnost_narocpracetu","kurznarocnost_narochod","kurzobsah_lekodbornik","kurzobsah_lekpoutave","kurzobsah_lekpripraveny","kurzobsah_lekpristupny","kurzobsah_lekvysvet","kurzobsah_lekzapoj","kurzobsah_prinos","kurzobsah_problemzapojit","kurzovlivnil","kurzsamvsInteraktiv","kurzucitjinak","kurzzmenit"
"1","1","1","1","2","2","Ve velké skupině","Experimentem / problémem","Rovnoměrně","ďakujeme za cukríky!","časť o orgánoch","Velmi těžké","Spíše lehké","Spíše lehké","Určitě ano","Spíše ano","Určitě ano","Nevím","Určitě ano","Určitě ano","Spíše ano","Určitě ne","zamyslenie sa nad vecammi","Spíš přednášel","Měl by učit stejně","viac štatistík a informácii"
"1","1","1","1","1","1","Ve dvojici","Diskusí","Rovnoměrně",NA,"Uvodni hodina etiky, protoze to bylo hodne prinosne pro vsechny budouci diskuze + se mi libily skvele pripravene materialy, ze kterych jsem sice stihla jenom malou cast pred discoverem, ale urcite se k nim vratim.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Zaujala me hodina o genech, takze se budu snazit se o nich neco dozvedet i z biologickeho hlediska","Hodně interaktivně","Měl by učit stejně","Nic bych nemenila, kurz byl super!"
"1","1","2","2","1","1","Ve dvojici","Diskusí","Rovnoměrně",NA,"Jednoznacne sa mi pacil vyber tem, o ktorych sme diskutovali a sposob, ktorym Alex viedla hodiny. Bolo super, ze nam najprv poskytla fakty a vysvetlila ako jednotlive problemy funguju, potom bolo na nas aby sme diskutovali a vytvorili si nazor k jednotlivym temam. Pacilo sa mi, ze chcela aby sme argumentovali svoje nazory.","Vhodně náročné","Vhodně náročné","Vhodně náročné","Určitě ano","Spíše ano","Určitě ano","Nevím","Určitě ano","Určitě ano","Určitě ano","Spíše ne","Naucila som sa chapat, preco maju ludia ine nazory ako ja a co ich viedlo k tomu, aby si taketo nazory vytvorili. Taktiez, Alex nam ukazala, ze treba zvazovat vela faktorov suvisiacich s jednotlivým problemom na ktore som predtym zabudala alebo ich uplne odignorovala.","Hodně interaktivně","Měl by učit stejně","Mohli by sme riesit viac realnych pripadov. "
"1","1","2","1","1","1","Samostatně","Diskusí","Nutí nás na věci přícházet sami",NA,"Pacilo sa mi ako sme mohli diskutovat o danej teme a pacili sa mi nase prestavky.","Nevím","Vhodně náročné","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Pomohol mi zistit ake maju ludia nazory naprikr nnahradne materstvo.","Spíš interaktivně","Měl by učit stejně","Mne sa tento workshop velmi pacil a nemenila by som nic."
"1","1","1","2","1","1","Samostatně","Diskusí","Nutí nás na věci přícházet sami",NA,"Možnost vyjádřit ve ke všem zajímavým tématům a prodiskutovat je. Příjemná lektrka, dobré rostředí, možnost se vyjádřit.","Spíše těžké","Mého kurzu se netýká","Vhodně náročné","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Donutil mě hlouběji se zamyslet nad etickými otázkami. Dívat se ně z různých pohledů.","Hodně interaktivně","Měl by učit stejně","Vše bylo super. Možná mě méně zaujala sobotí hodina společně s kurzem medicíny."
"1","1","1","1","1","1","Ve velké skupině","Diskusí","Dává nám nové informace","Alex!!  Cukříky nas motivovali! ","Nejvice se mi libila umela reprodukce, protoze jsem se nad tim hodne do hloubky zamyslela","Nevím","Vhodně náročné","Velmi lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ne","Zamysleni nad zivotnimi situacemi","Hodně interaktivně","Měl by učit stejně","Nic"
"2","1","1","1","1","1","Ve velké skupině","Diskusí","Nutí nás na věci přícházet sami",NA,"Naše milá lektorka","Nevím","Spíše lehké","Nevím","Spíše ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Spíše ano","Nevím","Bud se ještě více bát pokroků v genetice","Hodně interaktivně","Měl by o trochu víc přednášet","Více zspojit teoretické znalosti"
"1","1","1","1","1","2","Ve skupině okolo 5","Experimentem / problémem","Nutí nás na věci přícházet sami",NA,"Všetko :). Diskusie a aj teoria boli veľmi vybalancované.","Velmi těžké","Spíše lehké","Spíše lehké","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Určitě ano","Rozmýšlať o otázkach etiky vždy niečo vo vás zmení, ani kurz bioetiky nebol iný.","Nevím","Měl by učit stejně","nic. "
